name,gender,origins
Aabraham,m,Finnish (Rare)
Aada,f,Finnish
Aadan,m,Somali
Aaden,m,English (Modern)
Aadolf,m,Finnish (Rare)
Aafje,f,Dutch
Aage,m,"Danish, Norwegian"
Aali,m,Arabic
Aalis,f,Medieval French
Aaliyah,f,"Arabic, English (Modern), African American (Modern)"
Aamaal,f,Arabic
Aamadu,m,Fula
Aamina,f,"Arabic, Somali"
Aaminah,f,Arabic
Aaminata,f,Fula
'Aamir,m,Arabic
Aamir 1,m,"Arabic, Urdu"
Aamir 2,m,Arabic
Aamu,f,Finnish
Aanakwad,m,Ojibwe
Aang,m,Popular Culture
Aapeli,m,Finnish
Aapo,m,Finnish
Aaralyn,f,English (Rare)
Aarav,m,Hindi
Aaren,m,English (Rare)
Aarne,m,"Finnish, Estonian"
Aarni,m,Finnish
Aaro,m,"Finnish, Estonian"
Aäron,m,Dutch
Aarón,m,"Spanish, Biblical Spanish"
Aaron,m,"English, French, German, Finnish, Jewish, Biblical, Biblical Latin, Biblical Greek"
Aarre,m,Finnish
Aart,m,Dutch
Aarthi,f,Tamil
Aarti,f,"Hindi, Marathi"
Aase,f,"Danish, Norwegian"
Aatami,m,Finnish (Rare)
Aatos,m,Finnish
Aatto,m,Finnish
Aatu,m,Finnish
Aava,f,Finnish
Abacuc,m,"Biblical Latin, Biblical Italian"
Abaddon,m,Biblical
Abai,m,Kazakh
Abakar,m,Central African
Əbəlfəz,m,Azerbaijani
Abayomi,m,Yoruba
Abbán,m,Old Irish
'Abbas,m,"Arabic, Persian"
Abbas,m,"Arabic, Persian, Azerbaijani, Urdu"
Abbe,m,Frisian
Abbey,f,English
Abbi,f,English
Abbie,f,English
Abbigail,f,English (Modern)
Abbondio,m,Italian
Abby,f,English
Abd,m,Arabic
Abd al-Aziz,m,Arabic
Abd al-Fattah,m,Arabic
Abd al-Ghani,m,Arabic
Abd al-Hadi,m,Arabic
Abd al-Hakim,m,Arabic
Abd al-Hamid,m,Arabic
Abd al-Haqq,m,Arabic
Abd al-Ilah,m,Arabic
Abd al-Kader,m,Arabic
Abd al-Karim,m,Arabic
Abd Allah,m,Arabic
Abdallah,m,Arabic
Abd al-Latif,m,Arabic
Abd al-Majid,m,Arabic
Abd al-Malik,m,Arabic
Abd al-Muhsin,m,Arabic
Abd al-Qadir,m,Arabic
Abd al-Rahim,m,Arabic
Abd al-Rahman,m,Arabic
Abd al-Rashid,m,Arabic
Abd al-Salam,m,Arabic
Abd al-Wali,m,Arabic
Abd ar-Rahim,m,Arabic
Abd ar-Rahman,m,Arabic
Abd ar-Rashid,m,Arabic
Abd as-Salam,m,Arabic
Abdastartos,m,Phoenician (Hellenized)
Abdastartus,m,Phoenician (Latinized)
Abdel,m,Arabic
Abdelaziz,m,Arabic
Abdelfattah,m,Arabic (Maghrebi)
Abdelghani,m,Arabic (Maghrebi)
Abdelhak,m,Arabic (Maghrebi)
Abdelhakim,m,Arabic (Maghrebi)
Abdelhamid,m,Arabic
Abdelkader,m,Arabic (Maghrebi)
Abdelkrim,m,Arabic (Maghrebi)
Abdellah,m,Arabic (Maghrebi)
Abdellatif,m,Arabic (Maghrebi)
Abdelmadjid,m,Arabic (Maghrebi)
Abdelmajid,m,Arabic (Maghrebi)
Abdelrahman,m,Arabic
Abderrahim,m,Arabic (Maghrebi)
Abderrahmane,m,Arabic (Maghrebi)
Abdeslam,m,Arabic (Maghrebi)
Abdessalam,m,Arabic (Maghrebi)
Abdias,m,"Biblical Greek, Biblical Latin, Portuguese (Brazilian)"
Abdiel,m,"Biblical, Biblical Greek"
Abdiou,m,Biblical Greek
Abdirahman,m,Somali
Abdirashid,m,Somali
Abdo,m,Arabic
Abdolhossein,m,Persian
Abdollah,m,Persian
Abdolreza,m,Persian
Abdou,m,"Western African, Arabic (Maghrebi)"
Abdoul,m,Western African
Abdoulaye,m,Western African
Abduh,m,Arabic
Abdul,m,"Arabic, Urdu, Punjabi, Pashto, Uzbek, Bengali, Indonesian, Malay"
Abdulah,m,Bosnian
Abdülaziz,m,Turkish
Abdul Aziz,m,"Arabic, Urdu, Indonesian, Malay"
Abdulaziz,m,Arabic
Abdulhadi,m,Arabic
Abdul Hamid,m,"Arabic, Indonesian, Malay"
Abdülhamit,m,Turkish
Abdul Haq,m,"Arabic, Urdu"
Abdülkadir,m,Turkish
Abdülkerim,m,Turkish
Abdulla,m,"Uzbek, Kyrgyz, Kazakh, Azerbaijani, Dhivehi, Uyghur, Arabic"
Abdullaahi,m,Fula
Abdullah,m,"Arabic, Turkish, Urdu, Bengali, Malay, Indonesian"
Abdullahi,m,"Hausa, Somali"
Abdüllatif,m,Turkish
Abdullo,m,"Tajik, Uzbek"
Abdulloh,m,"Uzbek, Tajik"
Abdullohi,m,Tajik
Abdul Majid,m,Arabic
Abdulmohsen,m,Arabic
Abdul Rahman,m,"Arabic, Malay, Indonesian"
Abdulrahman,m,Arabic
Abdurakhman,m,Chechen
